"Entity","country","latitude","longitude","Code.x","Year.x","visitors","Code.y","Year.y","length_stay"
"Albania","AL",41.153332,20.168331,"ALB",2008,0.06655975,"ALB",2019,2.58
"Albania","AL",41.153332,20.168331,"ALB",2008,0.06655975,"ALB",2021,2.6
"Albania","AL",41.153332,20.168331,"ALB",2008,0.06655975,"ALB",2020,2.34
"Albania","AL",41.153332,20.168331,"ALB",2008,0.06655975,"ALB",2018,2.43
"Albania","AL",41.153332,20.168331,"ALB",2009,0.037405025,"ALB",2019,2.58
"Albania","AL",41.153332,20.168331,"ALB",2009,0.037405025,"ALB",2021,2.6
"Albania","AL",41.153332,20.168331,"ALB",2009,0.037405025,"ALB",2020,2.34
"Albania","AL",41.153332,20.168331,"ALB",2009,0.037405025,"ALB",2018,2.43
"Albania","AL",41.153332,20.168331,"ALB",2015,0.04281184,"ALB",2019,2.58
"Albania","AL",41.153332,20.168331,"ALB",2015,0.04281184,"ALB",2021,2.6
"Albania","AL",41.153332,20.168331,"ALB",2015,0.04281184,"ALB",2020,2.34
"Albania","AL",41.153332,20.168331,"ALB",2015,0.04281184,"ALB",2018,2.43
"Albania","AL",41.153332,20.168331,"ALB",2007,0.06120527,"ALB",2019,2.58
"Albania","AL",41.153332,20.168331,"ALB",2007,0.06120527,"ALB",2021,2.6
"Albania","AL",41.153332,20.168331,"ALB",2007,0.06120527,"ALB",2020,2.34
"Albania","AL",41.153332,20.168331,"ALB",2007,0.06120527,"ALB",2018,2.43
"Albania","AL",41.153332,20.168331,"ALB",2013,0.07700385,"ALB",2019,2.58
"Albania","AL",41.153332,20.168331,"ALB",2013,0.07700385,"ALB",2021,2.6
"Albania","AL",41.153332,20.168331,"ALB",2013,0.07700385,"ALB",2020,2.34
"Albania","AL",41.153332,20.168331,"ALB",2013,0.07700385,"ALB",2018,2.43
"Albania","AL",41.153332,20.168331,"ALB",2018,0.10992509,"ALB",2019,2.58
"Albania","AL",41.153332,20.168331,"ALB",2018,0.10992509,"ALB",2021,2.6
"Albania","AL",41.153332,20.168331,"ALB",2018,0.10992509,"ALB",2020,2.34
"Albania","AL",41.153332,20.168331,"ALB",2018,0.10992509,"ALB",2018,2.43
"Albania","AL",41.153332,20.168331,"ALB",2010,0.023733456,"ALB",2019,2.58
"Albania","AL",41.153332,20.168331,"ALB",2010,0.023733456,"ALB",2021,2.6
"Albania","AL",41.153332,20.168331,"ALB",2010,0.023733456,"ALB",2020,2.34
"Albania","AL",41.153332,20.168331,"ALB",2010,0.023733456,"ALB",2018,2.43
"Albania","AL",41.153332,20.168331,"ALB",2019,0.045365535,"ALB",2019,2.58
"Albania","AL",41.153332,20.168331,"ALB",2019,0.045365535,"ALB",2021,2.6
"Albania","AL",41.153332,20.168331,"ALB",2019,0.045365535,"ALB",2020,2.34
"Albania","AL",41.153332,20.168331,"ALB",2019,0.045365535,"ALB",2018,2.43
"Albania","AL",41.153332,20.168331,"ALB",2020,0.020737328,"ALB",2019,2.58
"Albania","AL",41.153332,20.168331,"ALB",2020,0.020737328,"ALB",2021,2.6
"Albania","AL",41.153332,20.168331,"ALB",2020,0.020737328,"ALB",2020,2.34
"Albania","AL",41.153332,20.168331,"ALB",2020,0.020737328,"ALB",2018,2.43
"Albania","AL",41.153332,20.168331,"ALB",2021,0.031550318,"ALB",2019,2.58
"Albania","AL",41.153332,20.168331,"ALB",2021,0.031550318,"ALB",2021,2.6
"Albania","AL",41.153332,20.168331,"ALB",2021,0.031550318,"ALB",2020,2.34
"Albania","AL",41.153332,20.168331,"ALB",2021,0.031550318,"ALB",2018,2.43
"Albania","AL",41.153332,20.168331,"ALB",2017,0.06310575,"ALB",2019,2.58
"Albania","AL",41.153332,20.168331,"ALB",2017,0.06310575,"ALB",2021,2.6
"Albania","AL",41.153332,20.168331,"ALB",2017,0.06310575,"ALB",2020,2.34
"Albania","AL",41.153332,20.168331,"ALB",2017,0.06310575,"ALB",2018,2.43
"Albania","AL",41.153332,20.168331,"ALB",2014,0.03801257,"ALB",2019,2.58
