"Entity","Code.x","Year.x","Employment","Code.y","Year.y","Tourism_GDP"
"Argentina","ARG",2019,11.384852,"ARG",2019,1.8965118
"Argentina","ARG",2019,11.384852,"ARG",2016,1.9176736
"Argentina","ARG",2019,11.384852,"ARG",2018,1.8397866
"Argentina","ARG",2019,11.384852,"ARG",2017,1.9862579
"Argentina","ARG",2013,11.680119,"ARG",2019,1.8965118
"Argentina","ARG",2013,11.680119,"ARG",2016,1.9176736
"Argentina","ARG",2013,11.680119,"ARG",2018,1.8397866
"Argentina","ARG",2013,11.680119,"ARG",2017,1.9862579
"Argentina","ARG",2018,11.664857,"ARG",2019,1.8965118
"Argentina","ARG",2018,11.664857,"ARG",2016,1.9176736
"Argentina","ARG",2018,11.664857,"ARG",2018,1.8397866
"Argentina","ARG",2018,11.664857,"ARG",2017,1.9862579
"Argentina","ARG",2012,10.998188,"ARG",2019,1.8965118
"Argentina","ARG",2012,10.998188,"ARG",2016,1.9176736
"Argentina","ARG",2012,10.998188,"ARG",2018,1.8397866
"Argentina","ARG",2012,10.998188,"ARG",2017,1.9862579
"Argentina","ARG",2017,11.4716425,"ARG",2019,1.8965118
"Argentina","ARG",2017,11.4716425,"ARG",2016,1.9176736
"Argentina","ARG",2017,11.4716425,"ARG",2018,1.8397866
"Argentina","ARG",2017,11.4716425,"ARG",2017,1.9862579
"Argentina","ARG",2014,11.110576,"ARG",2019,1.8965118
"Argentina","ARG",2014,11.110576,"ARG",2016,1.9176736
"Argentina","ARG",2014,11.110576,"ARG",2018,1.8397866
"Argentina","ARG",2014,11.110576,"ARG",2017,1.9862579
"Argentina","ARG",2011,10.902986,"ARG",2019,1.8965118
"Argentina","ARG",2011,10.902986,"ARG",2016,1.9176736
"Argentina","ARG",2011,10.902986,"ARG",2018,1.8397866
"Argentina","ARG",2011,10.902986,"ARG",2017,1.9862579
"Argentina","ARG",2016,11.117064,"ARG",2019,1.8965118
"Argentina","ARG",2016,11.117064,"ARG",2016,1.9176736
"Argentina","ARG",2016,11.117064,"ARG",2018,1.8397866
"Argentina","ARG",2016,11.117064,"ARG",2017,1.9862579
"Argentina","ARG",2010,11.209212,"ARG",2019,1.8965118
"Argentina","ARG",2010,11.209212,"ARG",2016,1.9176736
"Argentina","ARG",2010,11.209212,"ARG",2018,1.8397866
"Argentina","ARG",2010,11.209212,"ARG",2017,1.9862579
"Australia","AUS",2014,7.055943,"AUS",2010,2.6923237
"Australia","AUS",2014,7.055943,"AUS",2014,2.9527414
"Australia","AUS",2014,7.055943,"AUS",2015,3.084575
"Australia","AUS",2014,7.055943,"AUS",2009,2.8224325
